 Data acquisition complete.
Iteration 3825: .006101968018786152
Iteration 3850: .006064901957135049
Iteration 3875: .006028039011525266
Iteration 3900: .005991379274352227
Iteration 3925: .005954922764694004
Iteration 3950: .005918669433274459
Iteration 3975: .005882619165891612
Iteration 4000: .005846771788132088
Iteration 4025: .005811127068120925
Iteration 4050: .005775684721058383
Iteration 4075: .005740444411390655
Iteration 4100: .005705405757051807
Iteration 4125: .005670568331289871
Iteration 4150: .005635931666621019
Iteration 4175: .005601495256154720
Iteration 4200: .005567258557537258
Iteration 4225: .005533220993708454
Iteration 4250: .005499381956823868
Iteration 4275: .005465740808517694
Iteration 4300: .005432296883874699
Iteration 4325: .005399049491142449
Iteration 4350: .005365997915824039
Iteration 4375: .005333141419857412
Iteration 4400: .005300479245850198
Iteration 4425: .005268010615765206
Iteration 4450: .005235734735261843
Iteration 4475: .005203650791941072
Iteration 4500: .005171757959878676
Iteration 4525: .005140055397291121
Iteration 4550: .005108542251445414
Iteration 4575: .005077217655653499
Iteration 4600: .005046080734572911
Iteration 4625: .005015130600618534
Iteration 4650: .004984366359625625
Iteration 4675: .004953787106614982
Iteration 4700: .004923391931995980
Iteration 4725: .004893179916550139
Iteration 4750: .004863150138223915
Iteration 4775: .004833301666380407
Iteration 4800: .004803633569181898
Iteration 4825: .004774144907042199
Iteration 4850: .004744834740716186
Iteration 4875: .004715702123888832
Iteration 4900: .004686746112007256
Iteration 4925: .004657965753978033
Iteration 4950: .004629360101827018
Iteration 4975: .004600928201416110
Iteration 5000: .004572669102991256
Iteration 5025: .004544581850929319
Iteration 5050: .004516665495181371
Iteration 5075: .004488919079953746
Iteration 5100: .004461341656238460
Iteration 5125: .004433932269265028
Iteration 5150: .004406689972199729
Iteration 5175: .004379613812389493
Iteration 5200: .004352702846176726
Iteration 5225: .004325956123921060
Iteration 5250: .004299372706107363
Iteration 5275: .004272951646861145
Iteration 5300: .004246692011591335
Iteration 5325: .004220592858992234
Iteration 5350: .004194653260043424
Iteration 5375: .004168872278583535
Iteration 5400: .004143248991809401
Iteration 5425: .004117782469236886
Iteration 5450: .004092471794862718
Iteration 5475: .004067316044299218
Iteration 5500: .004042314308811967
Iteration 5525: .004017465670536069
Iteration 5550: .003992769228368331
Iteration 5575: .003968224071336124
Iteration 5600: .003943829306336966
Iteration 5625: .003919584029567602
Iteration 5650: .003895487356246008
Iteration 5675: .003871538389972784
Iteration 5700: .003847736254535050
Iteration 5725: .003824080061114898
Iteration 5750: .003800568942367022
Iteration 5775: .003777202017197112
Iteration 5800: .003753978427255333
Iteration 5825: .003730897299391245
Iteration 5850: .003707957784413907
Iteration 5875: .003685159017138062
Iteration 5900: .003662500157723514
Iteration 5925: .003639980349021243
Iteration 5950: .003617598760627061
Iteration 5975: .003595354543513452
Iteration 6000: .003573246876797498
Iteration 6025: .003551274919601610
Iteration 6050: .003529437860663620
Iteration 6075: .003507734867241652
Iteration 6100: .003486165137715602
Iteration 6125: .003464727847529048
Iteration 6150: .003443422204753688
Iteration 6175: .003422247392961708
Iteration 6200: .003401202629959243
Iteration 6225: .003380287107432878
Iteration 6250: .003359500052937392
Iteration 6275: .003338840666245346
Iteration 6300: .003318308184624641
Iteration 6325: .003297901815898285
Iteration 6350: .003277620807075721
Iteration 6375: .003257464373945140
Iteration 6400: .003237431773229105
Iteration 6425: .003217522228666780
Iteration 6450: .003197735006672531
Iteration 6475: .003178069338787282
Iteration 6500: .003158524501159832
Iteration 6525: .003139099733090234
Iteration 6550: .003119794320333824
Iteration 6575: .003100607509907150
